,open,high,low,close,volume,value,middel,upper,lower
2023-09-20 13:00:00,36499000.0,36547000.0,36319000.0,36473000.0,729.03918438,26579007789.18829,,,
2023-09-20 17:00:00,36473000.0,36519000.0,36249000.0,36423000.0,491.52376347,17890381838.15377,,,
2023-09-20 21:00:00,36424000.0,36639000.0,36329000.0,36530000.0,417.82008807,15238061017.75794,,,
2023-09-21 01:00:00,36530000.0,36660000.0,36150000.0,36308000.0,347.51227076,12661288747.34169,,,
2023-09-21 05:00:00,36304000.0,36650000.0,36296000.0,36501000.0,260.95781331,9522430207.2281,,,
2023-09-21 09:00:00,36502000.0,36659000.0,36404000.0,36515000.0,716.80977466,26170719478.15663,,,
2023-09-21 13:00:00,36520000.0,36645000.0,36501000.0,36596000.0,557.04568254,20376794764.53963,,,
2023-09-21 17:00:00,36596000.0,36601000.0,36000000.0,36185000.0,766.7157337,27827555960.4596,,,
2023-09-21 21:00:00,36200000.0,36246000.0,35818000.0,36061000.0,1014.62319376,36519384182.64435,,,
2023-09-22 01:00:00,36059000.0,36120000.0,35967000.0,36014000.0,176.0128353,6343252409.06635,,,
2023-09-22 05:00:00,36014000.0,36078000.0,35938000.0,36012000.0,207.63147917,7479600853.78569,,,
2023-09-22 09:00:00,35989000.0,36129000.0,35900000.0,35989000.0,409.94560973,14764120659.58072,,,
2023-09-22 13:00:00,35979000.0,36117000.0,35950000.0,36046000.0,387.30544377,13955126104.85687,,,
2023-09-22 17:00:00,36047000.0,36118000.0,35998000.0,36052000.0,509.96619547,18387958894.60572,,,
2023-09-22 21:00:00,36052000.0,36086000.0,35901000.0,36040000.0,463.07344817,16667842831.71115,,,
2023-09-23 01:00:00,36040000.0,36065000.0,35904000.0,35929000.0,164.11568087,5905459159.37564,,,
2023-09-23 05:00:00,35929000.0,36007000.0,35913000.0,35952000.0,141.24821858,5078338103.59204,,,
2023-09-23 09:00:00,35964000.0,36019000.0,35920000.0,35977000.0,291.50520128,10482322438.26461,,,
2023-09-23 13:00:00,35976000.0,35981000.0,35910000.0,35929000.0,177.94870932,6395012375.79846,,,
2023-09-23 17:00:00,35958000.0,35989000.0,35901000.0,35980000.0,166.53845268,5984019651.14608,36175600.0,36654919.42980592,35696280.57019408
2023-09-23 21:00:00,35980000.0,35990000.0,35925000.0,35986000.0,195.41912129,7027988051.79576,36151250.0,36616221.24981862,35686278.75018138
2023-09-24 01:00:00,35986000.0,35998000.0,35942000.0,35995000.0,74.67056574,2686425148.61384,36129850.0,36581361.74141054,35678338.25858946
2023-09-24 05:00:00,35960000.0,35997000.0,35938000.0,35960000.0,93.47194553,3361992750.32751,36101350.0,36517050.43616958,35685649.56383042
2023-09-24 09:00:00,35951000.0,35993000.0,35908000.0,35944000.0,240.86401188,8659112012.51343,36083150.0,36492581.58287147,35673718.41712853
2023-09-24 13:00:00,35944000.0,35980000.0,35900000.0,35976000.0,190.52783829,6846801350.42004,36056900.0,36417998.8492745,35695801.1507255
2023-09-24 17:00:00,35976000.0,36047000.0,35931000.0,35951000.0,186.45683339,6709229623.62799,36028700.0,36320633.013224825,35736766.986775175
2023-09-24 21:00:00,35952000.0,36063000.0,35905000.0,35932000.0,431.72241908,15534325332.9877,35995500.0,36117150.9242399,35873849.0757601
2023-09-25 01:00:00,35910000.0,36100000.0,35740000.0,35815000.0,242.4860436,8707062845.74592,35977000.0,36089502.631548174,35864497.368451826
2023-09-25 05:00:00,35793000.0,35872000.0,35500000.0,35534000.0,343.83649377,12264201199.81091,35950650.0,36173278.579051584,35728021.420948416
2023-09-25 09:00:00,35530000.0,35534000.0,35243000.0,35374000.0,690.24996068,24436222417.50646,35918650.0,36256898.91177326,35580401.08822674
2023-09-25 13:00:00,35373000.0,35451000.0,35270000.0,35436000.0,396.07072501,14001095042.7296,35889850.0,36287502.731333315,35492197.268666685
2023-09-25 17:00:00,35438000.0,35511000.0,35176000.0,35239000.0,849.56050579,30022451927.42907,35852350.0,36341550.540086634,35363149.459913366
2023-09-25 21:00:00,35239000.0,35570000.0,35188000.0,35524000.0,621.43476457,21974374643.50263,35826250.0,36327500.17390731,35324999.82609269
2023-09-26 01:00:00,35524000.0,35679000.0,35483000.0,35575000.0,155.8363886,5545218576.75042,35802400.0,36303815.42814212,35300984.57185788
2023-09-26 05:00:00,35579000.0,35701000.0,35474000.0,35491000.0,164.33035239,5840537848.24597,35774950.0,36281679.23320988,35268220.76679012
2023-09-26 09:00:00,35497000.0,35805000.0,35428000.0,35778000.0,550.23268899,19592538178.14217,35767400.0,36268938.01346196,35265861.98653804
2023-09-26 13:00:00,35779000.0,35802000.0,35623000.0,35657000.0,374.57022327,13376013171.4663,35752650.0,36248650.11672325,35256649.88327675
2023-09-26 17:00:00,35657000.0,35745000.0,35552000.0,35654000.0,381.65413812,13603872299.28692,35736500.0,36222679.30415586,35250320.69584414
2023-09-26 21:00:00,35653000.0,35733000.0,35451000.0,35482000.0,616.47666146,21952544849.97278,35714150.0,36204151.62190924,35224148.37809076
2023-09-27 01:00:00,35486000.0,35680000.0,35480000.0,35619000.0,134.05448718,4768432488.35587,35696100.0,36171238.49504506,35220961.50495494
2023-09-27 05:00:00,35619000.0,35667000.0,35497000.0,35566000.0,152.88687894,5437460967.37684,35675100.0,36133106.61912018,35217093.38087982
2023-09-27 09:00:00,35566000.0,35723000.0,35560000.0,35695000.0,299.53854563,10680950318.66405,35660100.0,36092952.91047337,35227247.08952663
2023-09-27 13:00:00,35695000.0,35831000.0,35619000.0,35803000.0,633.58230386,22646074019.73976,35652250.0,36067540.83024335,35236959.16975665
2023-09-27 17:00:00,35809000.0,36485000.0,35718000.0,36353000.0,860.36697999,31032934296.99459,35672700.0,36178827.54789365,35166572.45210635
2023-09-27 21:00:00,36348000.0,36464000.0,35748000.0,35900000.0,1033.80770565,37372152431.16481,35668900.0,36166508.97774944,35171291.02225056
2023-09-28 01:00:00,35901000.0,35945000.0,35672000.0,35828000.0,235.68697492,8440760523.84707,35662750.0,36148579.89225708,35176920.10774292
2023-09-28 05:00:00,35830000.0,36010000.0,35800000.0,35982000.0,218.16400652,7832527250.02807,35665250.0,36157387.28294365,35173112.71705635
2023-09-28 09:00:00,35979000.0,36226000.0,35933000.0,36013000.0,474.03916598,17091248523.12205,35675150.0,36187521.27780135,35162778.72219865
2023-09-28 13:00:00,36001000.0,36185000.0,35974000.0,36143000.0,302.43606395,10922345294.01675,35705600.0,36253784.909256764,35157415.090743236
2023-09-28 17:00:00,36144000.0,36246000.0,36057000.0,36079000.0,362.23942375,13085871617.92808,35740850.0,36289920.89945797,35191779.10054203
2023-09-28 21:00:00,36079000.0,36733000.0,36073000.0,36731000.0,883.55236086,32175170701.38788,35805600.0,36491646.92182632,35119553.07817368
2023-09-29 01:00:00,36731000.0,36999000.0,36460000.0,36712000.0,571.00052674,21004918534.22076,35879250.0,36623020.72726536,35135479.27273464
2023-09-29 05:00:00,36742000.0,36789000.0,36490000.0,36596000.0,240.79513436,8817497258.8575,35932850.0,36721952.69493767,35143747.30506233
2023-09-29 09:00:00,36596000.0,36738000.0,36490000.0,36516000.0,377.77903932,13832129934.36994,35979900.0,36791069.110799834,35168730.889200166
2023-09-29 13:00:00,36516000.0,36868000.0,36510000.0,36809000.0,381.22260479,13978631714.93071,36045800.0,36902600.06879945,35188999.93120055
2023-09-29 17:00:00,36809000.0,36842000.0,36601000.0,36626000.0,226.35647898,8305551548.73964,36088200.0,36972682.030997746,35203717.969002254
2023-09-29 21:00:00,36626000.0,36662000.0,36260000.0,36432000.0,647.67492323,23641189940.15978,36126950.0,36999719.210465655,35254180.789534345
2023-09-30 01:00:00,36405000.0,36497000.0,36326000.0,36482000.0,95.07566402,3462043734.76145,36168350.0,37025063.24810212,35311636.75189788
2023-09-30 05:00:00,36482000.0,36523000.0,36399000.0,36444000.0,113.47835331,4136020499.51127,36216450.0,37017098.809272505,35415801.190727495
2023-09-30 09:00:00,36444000.0,36514000.0,36404000.0,36474000.0,206.10896509,7515164953.48004,36259200.0,37015613.58778745,35502786.41221255
2023-09-30 13:00:00,36474000.0,36580000.0,36464000.0,36550000.0,171.47140287,6265200534.48003,36308400.0,37000215.73451774,35616584.26548226
2023-09-30 17:00:00,36563000.0,36703000.0,36517000.0,36563000.0,329.35069843,12058126816.21168,36351800.0,36988284.290954284,35715315.709045716
2023-09-30 21:00:00,36570000.0,36717000.0,36517000.0,36632000.0,283.74448784,10387638274.9498,36393250.0,36985702.84067262,35800797.15932738
2023-10-01 01:00:00,36632000.0,36690000.0,36590000.0,36678000.0,120.26467817,4405680121.68024,36409500.0,37014989.449688606,35804010.550311394
2023-10-01 05:00:00,36678000.0,36740000.0,36597000.0,36600000.0,261.47592014,9586395934.48784,36444500.0,37005257.57028468,35883742.42971532
2023-10-01 09:00:00,36614000.0,36697000.0,36555000.0,36666000.0,356.73344199,13066941446.12308,36486400.0,36973607.03477766,35999192.96522234
2023-10-01 13:00:00,36666000.0,36814000.0,36622000.0,36802000.0,333.92453995,12259146326.40891,36527400.0,36972034.63416016,36082765.36583984
2023-10-01 17:00:00,36800000.0,36963000.0,36751000.0,36884000.0,470.14389706,17326522037.11382,36570950.0,36971922.22636461,36169977.77363539
2023-10-01 21:00:00,36861000.0,36913000.0,36782000.0,36823000.0,451.20831499,16627326631.51953,36604950.0,36966515.87810595,36243384.12189405
2023-10-02 01:00:00,36823000.0,36876000.0,36745000.0,36771000.0,123.7123124,4554196840.13459,36639550.0,36910211.159307905,36368888.840692095
2023-10-02 05:00:00,36768000.0,37817000.0,36742000.0,37789000.0,997.50001787,37440154251.51413,36692450.0,37273714.85493185,36111185.14506815
2023-10-02 09:00:00,37788000.0,38100000.0,37582000.0,38070000.0,1076.45556301,40681817519.10394,36760350.0,37607628.06285155,35913071.93714845
2023-10-02 13:00:00,38071000.0,38550000.0,37878000.0,38389000.0,835.26737231,31869069487.41537,36850000.0,37962103.55443613,35737896.44556387
2023-10-02 17:00:00,38389000.0,38550000.0,38300000.0,38307000.0,742.24689047,28506664201.3173,36939550.0,38214869.31605177,35664230.68394823
2023-10-02 21:00:00,38308000.0,38720000.0,38050000.0,38132000.0,1047.1646004,40232346018.38489,37005700.0,38385476.04590097,35625923.95409903
2023-10-03 01:00:00,38133000.0,38166000.0,37678000.0,38036000.0,564.657956,21427607792.75865,37076200.0,38517026.16651186,35635373.83348814
2023-10-03 05:00:00,38024000.0,38036000.0,37200000.0,37424000.0,628.99396212,23596078099.03447,37125800.0,38541328.407939665,35710271.592060335
2023-10-03 09:00:00,37424000.0,37772000.0,37367000.0,37673000.0,561.81283539,21096299139.41363,37185350.0,38586980.52042593,35783719.47957407
2023-10-03 13:00:00,37673000.0,37791000.0,37574000.0,37592000.0,291.70171894,10988575303.47479,37242750.0,38610157.67031712,35875342.32968288
2023-10-03 17:00:00,37592000.0,37716000.0,37567000.0,37600000.0,279.94938725,10537596121.03411,37299050.0,38625289.23776575,35972810.76223425
2023-10-03 21:00:00,37614000.0,37646000.0,37100000.0,37245000.0,837.60566268,31314160136.33068,37333800.0,38612987.17613137,36054612.82386863
2023-10-04 01:00:00,37246000.0,37370000.0,37101000.0,37109000.0,155.24515553,5783689234.3436,37361100.0,38593471.7655079,36128728.2344921
2023-10-04 05:00:00,37110000.0,37350000.0,37012000.0,37197000.0,473.76759727,17606584722.17802,37389350.0,38576420.39209538,36202279.60790462
2023-10-04 09:00:00,37198000.0,37363000.0,37036000.0,37318000.0,625.86208355,23280981943.71735,37421350.0,38561247.368418016,36281452.631581984
2023-10-04 13:00:00,37319000.0,37400000.0,37239000.0,37351000.0,372.9944352,13919746327.04784,37458900.0,38532420.70065595,36385379.29934405
2023-10-04 17:00:00,37351000.0,37595000.0,37313000.0,37498000.0,545.24437349,20445680412.40086,37500500.0,38507041.655999966,36493958.344000034
2023-10-04 21:00:00,37498000.0,37570000.0,37200000.0,37269000.0,407.83309806,15241881189.24933,37523850.0,38482701.78592336,36564998.21407664
2023-10-05 01:00:00,37269000.0,37740000.0,37241000.0,37497000.0,175.49854085,6583064363.11248,37554500.0,38465215.0458496,36643784.9541504
2023-10-05 05:00:00,37498000.0,37659000.0,37449000.0,37595000.0,259.67943571,9762046208.56709,37593100.0,38436203.01549505,36749996.98450495
2023-10-05 09:00:00,37592000.0,37737000.0,37425000.0,37455000.0,386.57305283,14520932274.42846,37627300.0,38380711.636979975,36873888.363020025
2023-10-05 13:00:00,37470000.0,37513000.0,37300000.0,37369000.0,327.02834083,12235809588.66795,37606300.0,38364134.893836245,36848465.106163755
2023-10-05 17:00:00,37369000.0,37650000.0,37355000.0,37645000.0,315.97381201,11859171076.79548,37585050.0,38311314.98716305,36858785.01283695
2023-10-05 21:00:00,37644000.0,38096000.0,37300000.0,37447000.0,865.37608019,32701624039.04171,37537950.0,38159288.614351474,36916611.385648526
2023-10-06 01:00:00,37447000.0,37520000.0,37244000.0,37356000.0,224.51722909,8384216659.90021,37490400.0,37999318.52310355,36981481.47689645
2023-10-06 05:00:00,37356000.0,37371000.0,37240000.0,37258000.0,210.14710962,7836167893.51014,37446700.0,37865823.44620397,37027576.55379603
2023-10-06 09:00:00,37258000.0,37450000.0,37245000.0,37399000.0,257.66833558,9623619552.18235,37414850.0,37729113.90184048,37100586.09815952
2023-10-06 13:00:00,37399000.0,37514000.0,37307000.0,37500000.0,322.28757646,12051480768.36265,37418650.0,37735209.31513699,37102090.68486301
2023-10-06 17:00:00,37499000.0,37770000.0,37480000.0,37713000.0,324.96640581,12221285184.05879,37420650.0,37744399.2694566,37096900.7305434
2023-10-06 21:00:00,37714000.0,37950000.0,37050000.0,37820000.0,889.96339084,33367528719.7969,37432050.0,37794899.81669237,37069200.18330763
2023-10-07 01:00:00,37839000.0,37927000.0,37652000.0,37803000.0,267.36544046,10107875452.61803,37442200.0,37834955.769832656,37049444.230167344
2023-10-07 05:00:00,37806000.0,38124000.0,37740000.0,37798000.0,338.07677785,12812853911.35565,37469850.0,37881556.73006273,37058143.26993727
2023-10-07 09:00:00,37798000.0,37894000.0,37725000.0,37820000.0,254.06993014,9607209628.62741,37505400.0,37908611.528657235,37102188.471342765
